"FullName","Account","AccessRights"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","AUTORITE NT\Système","DeleteSubdirectoriesAndFiles, ChangePermissions, TakeOwnership, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","AUTORITE NT\Système","DeleteSubdirectoriesAndFiles, ReadAndExecute, ChangePermissions, TakeOwnership, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","AUTORITE NT\Système","DeleteSubdirectoriesAndFiles, ChangePermissions, TakeOwnership, Synchronize, GenericAll"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","AUTORITE NT\Système","DeleteSubdirectoriesAndFiles, ChangePermissions, TakeOwnership, Synchronize, GenericAll"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","AUTORITE NT\Système","DeleteSubdirectoriesAndFiles, ChangePermissions, TakeOwnership, Synchronize, GenericAll"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","AUTORITE NT\Système","DeleteSubdirectoriesAndFiles, ReadAndExecute, ChangePermissions, TakeOwnership, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","AUTORITE NT\Utilisateurs authentifiés","Read, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","AUTORITE NT\Utilisateurs authentifiés","GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","AUTORITE NT\Utilisateurs authentifiés","GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","AUTORITE NT\Utilisateurs authentifiés","Read, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Administrateurs","FullControl, GenericAll"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Administrateurs","FullControl, GenericAll"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Administrateurs","FullControl, GenericAll"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","Write, Synchronize, GenericWrite"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","GenericAll, GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","Read, Synchronize, GenericRead"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","ReadAndExecute, Synchronize, GenericAll"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","Write, ReadPermissions, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","Write, Synchronize, GenericWrite"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","Read, Synchronize, GenericRead"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","GenericAll, GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","Read, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","ReadAndExecute, Synchronize, GenericAll"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","ListDirectory, CreateFiles, AppendData, ExecuteFile, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","ExecuteFile, ReadAttributes, ReadPermissions, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls","BUILTIN\Utilisateurs","Synchronize, GenericExecute"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls\test.txt","AUTORITE NT\Système","DeleteSubdirectoriesAndFiles, ReadAndExecute, ChangePermissions, TakeOwnership, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls\test.txt","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls\test.txt","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls\test.txt","AUTORITE NT\Utilisateurs authentifiés","Read, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls\test.txt","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls\test.txt","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls\test.txt","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\acls\test.txt","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\export","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\export","AUTORITE NT\Système","DeleteSubdirectoriesAndFiles, ChangePermissions, TakeOwnership, Synchronize, GenericAll"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\export","AUTORITE NT\Système","DeleteSubdirectoriesAndFiles, ReadAndExecute, ChangePermissions, TakeOwnership, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\export","AUTORITE NT\Système","DeleteSubdirectoriesAndFiles, ChangePermissions, TakeOwnership, Synchronize, GenericAll"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\export","AUTORITE NT\Système","DeleteSubdirectoriesAndFiles, ReadAndExecute, ChangePermissions, TakeOwnership, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\export","AUTORITE NT\Utilisateurs authentifiés","GenericExecute, GenericWrite, GenericRead"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\export","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\export","AUTORITE NT\Utilisateurs authentifiés","Read, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\export","AUTORITE NT\Utilisateurs authentifiés","Read, Synchronize"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles\NTFSProject\export","AUTORITE NT\Utilisateurs authentifiés","GenericExecute, GenericWrite, GenericRead"
